RCA;Asphalt;Additive;TR;HD;WC;OD;GW;SM;AC;EU;CA;NCA;RE;EC;FFD
0;4.5;0.15;30;50;3;4071;19361;791;122;10504;142;1005;9319;30322;36621
0;4.5;0.15;30;50;4;4711;22398;913;141;12144;164;1158;10780;34970;42321
0;4.5;0.15;30;100;1;2791;13286;546;84;7225;99;699;6396;21025;25223
0;4.5;0.15;30;100;2;3431;16323;668;103;8865;120;852;7857;25673;30922
0;4.5;0.15;30;100;3;4071;19361;791;122;10504;142;1005;9319;30322;36621
0;4.5;0.15;30;100;4;4711;22398;913;141;12144;164;1158;10780;34970;42321
0;4.5;0.15;30;150;1;2791;13286;546;84;7225;99;699;6396;21025;25223
0;4.5;0.15;30;150;2;3431;16323;668;103;8865;120;852;7857;25673;30922
0;4.5;0.15;30;150;3;4071;19361;791;122;10504;142;1005;9319;30322;36621
0;4.5;0.15;30;150;4;4711;22398;913;141;12144;164;1158;10780;34970;42321
0;4.5;0.15;40;0;1;2582;12294;506;78;6690;92;649;5919;19508;23363
0;4.5;0.15;40;0;2;3218;15311;627;97;8318;113;801;7370;24124;29022
0;4.5;0.15;40;0;3;3853;18327;749;115;9946;135;953;8821;28740;34682
0;4.5;0.15;40;0;4;4489;21343;871;134;11574;156;1105;10272;33356;40341
0;4.5;0.15;40;50;1;2582;12294;506;78;6690;92;649;5919;19508;23363
0;4.5;0.15;40;50;2;3218;15311;627;97;8318;113;801;7370;24124;29022
0;4.5;0.15;40;50;3;3853;18327;749;115;9946;135;953;8821;28740;34682
0;4.5;0.15;40;50;4;4489;21343;871;134;11574;156;1105;10272;33356;40341
0;4.5;0.15;40;100;1;2582;12294;506;78;6690;92;649;5919;19508;23363
0;4.5;0.15;40;100;2;3218;15311;627;97;8318;113;801;7370;24124;29022
0;4.5;0.15;40;100;3;3853;18327;749;115;9946;135;953;8821;28740;34682
0;4.5;0.15;40;100;4;4489;21343;871;134;11574;156;1105;10272;33356;40341
0;4.5;0.15;40;150;1;2582;12294;506;78;6690;92;649;5919;19508;23363
0;4.5;0.15;40;150;2;3218;15311;627;97;8318;113;801;7370;24124;29022
0;4.5;0.15;40;150;3;3853;18327;749;115;9946;135;953;8821;28740;34682
0;4.5;0.15;40;150;4;4489;21343;871;134;11574;156;1105;10272;33356;40341
0;4.5;0.25;10;0;1;3209;15269;626;96;8296;113;798;7350;24061;28943
0;4.5;0.25;10;0;2;3858;18349;750;116;9959;135;954;8832;28774;34722
0;4.5;0.25;10;0;3;4507;21428;874;135;11621;157;1109;10313;33487;40500
